Title of Activity,Please identify the AFU Principle(s) most relevant to this work.,Please identify who the activity is aimed at.,What is the primary purpose of the activity?
Age Friendly University Day 2022,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 9: To engage actively with the university’s own retired community.","Community and Organizational Partners,University Faculty,Undergraduate Students,Graduate Students,Lifelong Learners","To promote age-friendly practices in higher education, showcase collaborations across generations, and engage with the community to discuss topics on aging. "
Age Friendly University Day 2023,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.","Lifelong Learners,Undergraduate Students,Graduate Students,University Staff,University Faculty,Community Members","To provide education, community engagement, and wellness opportunities through sessions on purpose, fraud prevention, mindfulness, and planetary health"
Age Friendly University Day 2024,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Undergraduate Students,Graduate Students,Post-Graduate Students,Lifelong Learners,Community and Organizational Partners,Community Members,University Faculty","To create opportunities for learning wellness and conversion centered around aging by offering panels, keynote speaker sessions, interactive breakout discussion sessions, and community exhibits"
Age Friendly University Day 2025,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Community and Organizational Partners,University Faculty,Lifelong Learners,Undergraduate Students,Post-Graduate Students,Graduate Students","To highlight current research, innovation, and community partnerships in aging while fostering intergenerational engagement and dialogue "
Age Friendly Inventory and Campus Climate Survey (ICCS),"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","Undergraduate Students,Graduate Students,University Staff,University Faculty,Lifelong Learners,Community and Organizational Partners","To provide campuses with tools to evaluate age-friendly practices, perceptions of inclusivity, and areas for improvement using a systematic, campus-wide approach. "
Musicians in Residence Program at Mirabella at ASU  ,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","University Staff,University Faculty,Lifelong Learners,Graduate Students,Undergraduate Students","To provide an immersive, intergenerational program where students and older adults collaborate through music, dance, and creative arts, building meaningful relationships that support lifelong learning, community connection, and cultural engagement. "
"OLLI at Duke - ""Once: Theatre Outing","""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.","University Staff,University Faculty,Lifelong Learners,Community Members,Undergraduate Students,Graduate Students","An Outing to the Tony Award-winning musical ""Once"" at Burning Coal Theatre. The purpose is to foster intergenerational engagement with the art of theatre and have collaboration within the community, bringing everyone together to enjoy a common interest in this musical. "
U3A Brisbane - Annual Open Day,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","Community Members,Lifelong Learners,Community and Organizational Partners,Undergraduate Students,Graduate Students,University Staff","Showcase the breadth of U3A Brisbane’s interest groups, facilitate membership, and build community through presentations and intergenerational connections. "
OLLI at RIT - Fall Kickoff Social Event,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","University Staff,University Faculty,Community Members,Lifelong Learners,Undergraduate Students,Graduate Students","The main purpose of this event is to kick off the semester with a social event that features academic and cultural experiences. Having a way for students to connect with the older adults who are also starting the semester. A place to network, have some laughs, and meet new people who you would have never met unless you went. "
"OLLI at UNCW - Living Safely, Aging Well","Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 5: To widen access to online educational opportunities for older adults to ensure a diversity of routes to participation.","Community Members,Lifelong Learners,Community and Organizational Partners,University Staff,Graduate Students,Undergraduate Students","To educate older adults and students about aging well and reducing risks through guided study and conversation about how to minimize risk in your house and in what you do day to day, supported by expertise from the Wilmington Fire Department "
